Country Code,Country Name,Year,Capital Health Expenditure
MHL,Marshall Islands,2020,0.16431968
MRT,Mauritania,2017,0.32609522
MEX,Mexico,2017,0.07024644
MEX,Mexico,2018,0.0847646
MEX,Mexico,2019,0.06371105
MEX,Mexico,2020,0.13521963
FSM,"Micronesia, Fed. Sts.",2017,0.39029238
FSM,"Micronesia, Fed. Sts.",2018,0.39869827
FSM,"Micronesia, Fed. Sts.",2019,0.61387002
MDA,Moldova,2017,0.5407936
MDA,Moldova,2018,0.44774324
MNG,Mongolia,2017,0.45265353
MNG,Mongolia,2018,0.33838451
MNG,Mongolia,2019,0.4125585
MNG,Mongolia,2020,0.36802548
MNE,Montenegro,2017,0.06722493
MNE,Montenegro,2018,0.07806133
MNE,Montenegro,2019,0.08887094
MNE,Montenegro,2020,0.17612064
MAR,Morocco,2018,0.1642874
MOZ,Mozambique,2019,0.63825524
MOZ,Mozambique,2020,0.80805409
MMR,Myanmar,2017,0.39614236
MMR,Myanmar,2018,0.29075888
MMR,Myanmar,2019,0.26500329
MMR,Myanmar,2020,0.24464553
NAM,Namibia,2017,0.28825417
NRU,Nauru,2017,1.33229661
NRU,Nauru,2019,0.59765369
NRU,Nauru,2020,0.75600529
NPL,Nepal,2017,0.46851069
NPL,Nepal,2018,0.35502851
NPL,Nepal,2019,0.31829783
NPL,Nepal,2020,0.53387177
NIC,Nicaragua,2017,0.32674524
NIC,Nicaragua,2018,0.28815392
NIC,Nicaragua,2019,0.28867826
NIC,Nicaragua,2020,0.61670667
NER,Niger,2017,0.24175861
NER,Niger,2018,0.34318942
NER,Niger,2019,0.53103071
NER,Niger,2020,0.2665543
NGA,Nigeria,2017,0.13156208
NGA,Nigeria,2018,0.26808563
NGA,Nigeria,2019,0.13931435
NGA,Nigeria,2020,0.17311247
MKD,North Macedonia,2017,0.21409726
MKD,North Macedonia,2018,0.0735982
MKD,North Macedonia,2019,0.1369745
MKD,North Macedonia,2020,0.10123245
NOR,Norway,2017,0.49617919
NOR,Norway,2018,0.51360476
NOR,Norway,2019,0.61218178
NOR,Norway,2020,0.73517704
NOR,Norway,2021,0.67824507
PAK,Pakistan,2018,0.24972818
PAK,Pakistan,2020,0.13191075
PLW,Palau,2017,0.19859649
PLW,Palau,2018,0.08421053
PLW,Palau,2019,0.72627735
PAN,Panama,2017,0.7458238
PAN,Panama,2018,0.81678742
PAN,Panama,2019,0.81463385
PAN,Panama,2020,0.94090825
PNG,Papua New Guinea,2017,0.11018947
PNG,Papua New Guinea,2018,0.43369707
PNG,Papua New Guinea,2019,0.25426292
PNG,Papua New Guinea,2020,0.25301015
PRY,Paraguay,2017,0.20337161
PRY,Paraguay,2018,0.1783295
PRY,Paraguay,2019,0.18398903
PRY,Paraguay,2020,0.23817573
PER,Peru,2017,0.33096531
PER,Peru,2018,0.33155125
PER,Peru,2019,0.34131956
PER,Peru,2020,0.4066585
PHL,Philippines,2017,0.50983244
PHL,Philippines,2018,0.69262439
PHL,Philippines,2019,0.43237111
PHL,Philippines,2020,0.49358261
