Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6198200,6322800,6456200,6579900,6691800,6803300
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6997917,7105006,7212053,7319399,7425057,7529475
"Population, total",SP.POP.TOTL,Latvia,LVA,1942248,1927174,1913822,1900449,1884490,1883379
"Population, total",SP.POP.TOTL,Lebanon,LBN,6109252,5950839,5781907,5662923,5592631,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,2170617,2198017,2225702,2254100,2281454,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,4796631,4889391,4985289,5087584,5193416,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,6378261,6477793,6569088,6653942,6735277,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37889,38181,38482,38756,39039,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,2828403,2801543,2794137,2794885,2800839,2833000
"Population, total",SP.POP.TOTL,Luxembourg,LUX,596336,607950,620001,630419,640064,650774
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,638609,650991,663653,676283,686607,695168
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2074502,2076217,2076694,2072531,2065092,2057679
"Population, total",SP.POP.TOTL,Madagascar,MDG,26169542,26846541,27533134,28225177,28915653,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,17881167,18367883,18867337,19377061,19889742,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,31975806,32399271,32804020,33199993,33573874,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,472442,489758,504508,514438,521457,523787
"Population, total",SP.POP.TOTL,Mali,MLI,19311355,19934298,20567424,21224040,21904983,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,467999,484630,504062,515332,518536,523417
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47187,45989,44728,43413,42050,41569
"Population, total",SP.POP.TOTL,Mauritania,MRT,4160015,4270712,4383849,4498604,4614974,4736139
"Population, total",SP.POP.TOTL,Mauritius,MUS,1264887,1265577,1265985,1266014,1266334,1262523
"Population, total",SP.POP.TOTL,Mexico,MEX,122839258,124013861,125085311,125998302,126705138,127504125
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,110430,110929,111379,112106,113131,114164
"Population, total",SP.POP.TOTL,Moldova,MDA,2755189,2707203,2664224,2635130,2615199,2592477
"Population, total",SP.POP.TOTL,Monaco,MCO,37044,37029,37034,36922,36686,36469
"Population, total",SP.POP.TOTL,Mongolia,MNG,3096030,3163991,3232430,3294335,3347782,3398366
"Population, total",SP.POP.TOTL,Montenegro,MNE,622373,622227,622028,621306,619211,616159
"Population, total",SP.POP.TOTL,Morocco,MAR,35528115,35927511,36304408,36688772,37076584,37457971
"Population, total",SP.POP.TOTL,Mozambique,MOZ,28569441,29423878,30285595,31178239,32077072,32969518
"Population, total",SP.POP.TOTL,Myanmar,MMR,52288341,52666014,53040212,53423198,53798084,54179306
