Country Code,Country Name,Year,Cases,GDP,Population,Cases (per million people)
MLI,Mali,2018,144,17070867578.0,19934298,7
MLI,Mali,2019,235,17280250805.0,20567424,11
MLI,Mali,2020,150,17465392779.0,21224040,7
MLI,Mali,2021,14,19309463506.0,21904983,1
MLI,Mali,2022,26,18827176532.0,22593590,1
MLT,Malta,2017,505,13489296992.0,467999,1079
MLT,Malta,2018,880,15298004130.0,484630,1816
MLT,Malta,2019,838,15881258056.0,504062,1662
MLT,Malta,2020,373,15046136935.0,515332,724
MLT,Malta,2022,367,17765270015.0,523417,701
MMR,Myanmar,2017,431,61449391917.0,52288341,8
MMR,Myanmar,2018,103,67144726168.0,52666014,2
MMR,Myanmar,2019,806,68697761477.0,53040212,15
MMR,Myanmar,2020,19,78930259069.0,53423198,0
MMR,Myanmar,2021,15,65124769602.0,53798084,0
MMR,Myanmar,2022,14,59364362541.0,54179306,0
MNE,Montenegro,2017,4,4856602179.0,622373,6
MNE,Montenegro,2018,266,5506944403.0,622227,427
MNE,Montenegro,2019,508,5542053845.0,622028,817
MNE,Montenegro,2020,498,4769995512.0,621306,802
MNE,Montenegro,2021,24,5861430526.0,619211,39
MNE,Montenegro,2022,185,6095978868.0,616159,300
MNG,Mongolia,2017,533,11480847740.0,3096030,172
MNG,Mongolia,2018,304,13178094720.0,3163991,96
MNG,Mongolia,2019,909,14206359016.0,3232430,281
MNG,Mongolia,2020,981,13312981427.0,3294335,298
MNG,Mongolia,2021,2,15286441740.0,3347782,1
MNG,Mongolia,2022,372,16810883361.0,3398366,109
MOZ,Mozambique,2017,78,13219079498.0,28569441,3
MOZ,Mozambique,2018,66,14845400593.0,29423878,2
MOZ,Mozambique,2019,91,15390031040.0,30285595,3
MOZ,Mozambique,2020,44,14156864916.0,31178239,1
MOZ,Mozambique,2021,60,15776757420.0,32077072,2
MOZ,Mozambique,2022,422,17851491428.0,32969518,13
MRT,Mauritania,2017,10,6800138755.0,4160015,2
MRT,Mauritania,2018,27,7473550557.0,4270712,6
MRT,Mauritania,2019,51,8066118984.0,4383849,12
MRT,Mauritania,2020,40,8405498736.0,4498604,9
MRT,Mauritania,2021,68,9996240419.0,4614974,15
MRT,Mauritania,2022,26,10375460680.0,4736139,5
MUS,Mauritius,2017,95,13713505998.0,1264887,75
MUS,Mauritius,2018,102,14735695931.0,1265577,81
