Country Code,Country Name,Year,Influenza Cases,Capital Health Expenditure
MYS,Malaysia,2020,10,0.35155252
NER,Niger,2017,5,0.24175861
NER,Niger,2018,4,0.34318942
NER,Niger,2019,6,0.53103071
NER,Niger,2020,6,0.2665543
NGA,Nigeria,2017,0,0.13156208
NGA,Nigeria,2018,0,0.26808563
NGA,Nigeria,2019,0,0.13931435
NGA,Nigeria,2020,0,0.17311247
NIC,Nicaragua,2017,118,0.32674524
NIC,Nicaragua,2018,201,0.28815392
NIC,Nicaragua,2019,213,0.28867826
NIC,Nicaragua,2020,6,0.61670667
NOR,Norway,2017,3123,0.49617919
NOR,Norway,2018,6206,0.51360476
NOR,Norway,2019,4166,0.61218178
NOR,Norway,2020,2505,0.73517704
NOR,Norway,2021,101,0.67824507
NPL,Nepal,2017,76,0.46851069
NPL,Nepal,2018,34,0.35502851
NPL,Nepal,2019,89,0.31829783
NPL,Nepal,2020,24,0.53387177
PAK,Pakistan,2018,3,0.24972818
PAK,Pakistan,2020,0,0.13191075
PAN,Panama,2017,64,0.7458238
PAN,Panama,2018,48,0.81678742
PAN,Panama,2019,90,0.81463385
PAN,Panama,2020,12,0.94090825
PER,Peru,2017,8,0.33096531
PER,Peru,2018,33,0.33155125
PER,Peru,2019,11,0.34131956
PER,Peru,2020,2,0.4066585
PHL,Philippines,2017,3,0.50983244
PHL,Philippines,2018,2,0.69262439
PHL,Philippines,2019,6,0.43237111
PHL,Philippines,2020,0,0.49358261
PHL,Philippines,2021,1,0.36699748
PNG,Papua New Guinea,2017,3,0.11018947
PNG,Papua New Guinea,2018,3,0.43369707
PNG,Papua New Guinea,2019,2,0.25426292
PRY,Paraguay,2017,149,0.20337161
PRY,Paraguay,2018,145,0.1783295
PRY,Paraguay,2019,229,0.18398903
PRY,Paraguay,2020,15,0.23817573
RUS,Russian Federation,2017,101,0.13661347
RUS,Russian Federation,2018,106,0.13438486
RUS,Russian Federation,2019,134,0.13515124
SEN,Senegal,2017,54,0.32684988
SEN,Senegal,2018,31,0.1870963
SEN,Senegal,2019,30,0.55649453
SEN,Senegal,2020,22,0.76526505
SGP,Singapore,2017,178,0.30921975
SGP,Singapore,2018,196,0.29305571
SGP,Singapore,2019,202,0.27407989
SLE,Sierra Leone,2017,2,0.2312635
SLE,Sierra Leone,2018,1,0.67916507
SLV,El Salvador,2017,46,0.42633641
SLV,El Salvador,2018,31,0.3281121
SLV,El Salvador,2019,39,0.19238144
SLV,El Salvador,2020,1,0.4065125
SRB,Serbia,2017,21,0.31177941
SRB,Serbia,2018,119,0.28461522
SWE,Sweden,2017,1118,0.54182684
SWE,Sweden,2018,2104,0.58761811
SWE,Sweden,2019,1345,0.59766883
SWE,Sweden,2020,699,0.48069501
TCD,Chad,2018,2,0.00902214
TGO,Togo,2017,30,0.38820601
TGO,Togo,2018,32,0.46553299
TGO,Togo,2019,61,0.37068945
THA,Thailand,2017,18,0.22807913
THA,Thailand,2018,11,0.23306409
THA,Thailand,2019,22,0.19384837
THA,Thailand,2020,4,0.20093964
TJK,Tajikistan,2017,2,0.13300431
TJK,Tajikistan,2018,5,0.21660879
TJK,Tajikistan,2019,3,0.07518645
TJK,Tajikistan,2020,2,0.69915909
TLS,Timor-Leste,2017,3,0.4894802
TLS,Timor-Leste,2018,101,0.05050505
TLS,Timor-Leste,2019,191,0.01173709
TTO,Trinidad and Tobago,2017,11,0.15886861
TTO,Trinidad and Tobago,2018,13,0.19162789
TTO,Trinidad and Tobago,2019,178,0.22160815
TTO,Trinidad and Tobago,2020,22,0.30824065
UGA,Uganda,2017,10,0.12383905
UGA,Uganda,2018,1,0.10582525
UGA,Uganda,2019,4,0.15757895
UKR,Ukraine,2017,15,0.3088249
UKR,Ukraine,2018,24,0.28270075
UKR,Ukraine,2019,15,0.27371028
UKR,Ukraine,2020,26,1.24912989
URY,Uruguay,2017,58,0.22498514
URY,Uruguay,2018,36,0.20157413
URY,Uruguay,2019,41,0.20949771
URY,Uruguay,2020,3,0.15481637
UZB,Uzbekistan,2017,0,0.27891243
UZB,Uzbekistan,2018,0,0.40021503
UZB,Uzbekistan,2019,1,0.07807273
UZB,Uzbekistan,2020,0,0.10240139
